,author_name,books_name
10160,Blackcoffee Design,"['1000 ikony, symboly a piktogramy: vizuální komunikace ve všech jazycích']"
10161,Pauline Baynes,"['The Voyage of the Dawn Treader (Chronicles of Narnia, #5)']"
10162,Rebecca Frayn,['Deceptions']
10163,G. Bruce  Knecht,"[""Grand Ambition: An Extraordinary Yacht, the People Who Built It, and the Millionaire Who Can't Really Afford It""]"
10164,Margaret Fuller,['The Essential Margaret Fuller']
10165,Jeffrey Steele,['The Essential Margaret Fuller']
10166,Alastair Bruce,['Keepers of the Kingdom: The Ancient Offices of Britain']
10167,Julian Calder,['Keepers of the Kingdom: The Ancient Offices of Britain']
10168,Mark Cantor,['Keepers of the Kingdom: The Ancient Offices of Britain']
10169,Lily Maxton,['One Good Thing']
10170,Fiona Capp,['To Know My Crime']
10171,John Man,['The Terracotta Army']
10172,Grantlee Kieza,"[""Mrs Kelly: The Epic Untold Story of an Australian Matriarch - Ned Kelly's Mother""]"
10173,Nicola Moriarty,"['The Fifth Letter: old friends, hidden betrayals and one dangerous secret']"
10174,Kei Miller,['New Caribbean Poetry: An Anthology']
10175,Kat Ross,['Some Fine Day']
10176,Mary Robinette Kowal,['Some Fine Day']
10177,Madeleine K. Albright,"['Prague Winter: A Personal Story of Remembrance and War, 1937-1948']"
10178,Josh Dean,['Show Dog: The Charmed Life and Trying Times of a Near-Perfect Purebred']
10179,Alyssa Satin Capucilli,['Biscuit in the Garden']
10180,Pat Schories,['Biscuit in the Garden']
10181,Sara Benincasa,['Agorafabulous!: Dispatches from My Bedroom']
10182,Sandra Sinclair,['Unraveled in Space']
10183,Roseanne Montillo,"[""The Lady and Her Monsters: A Tale of Dissections, Real-Life Dr. Frankensteins, and the Creation of Mary Shelley's Masterpiece""]"
10184,Jenna Dales,['Inspire Me: A Hot Rod Novel']
10185,Teresa of Avila,['The Interior Castle or The Mansions']
10186,The Benedictines of Stanbrook,['The Interior Castle or The Mansions']
10187,Lark Crafts,['Wedding Papercrafts: Add Handmade Charm to Your Celebration']
10188,Sean Ellis,"['Prime (Chess Team Adventure, #0.5)']"
10189,Erik Brooks,"['Later, Gator!']"
10190,Emily Janice Card,"['Laddertop, Books 1 - 2']"
10191,Honoel A. Ibardolaza,"['Laddertop, Books 1 - 2']"
10192,Krista Mitchell,"['Change Your Energy: Healing Crystals for Health, Wealth, Love  Luck']"
10193,Taichi Yamada,['Um Dia Sonhei que Voava']
10194,Matthew Weiss,['Please Be Nice to Sharks: Fascinating Facts about the Ocean’s Most Misunderstood Creatures']
10195,Nicki Huntsman Smith,['Troop of Shadows (The Troop of Shadows Chronicles #1)']
10196,Billy Taylor,['Just Friends']
10197,Tina Gayle,"[""CFO's Affair (Executive Wives' Club #3)""]"
10198,Vergilio Ferreira,['Até ao Fim']
10199,Clayton M. Christensen,['The Power of Everyday Missionaries']
10200,Andrew Blackman,['A Virtual Love']
10201,Marc Bolda,['Winner - Book Two: The Sundering Veil']
10202,Dan Logan,['The Dance Dragon']
10203,Brook Greene,"['In Ruins (The Knights Of Mayhem, #2)']"
10204,Enrique Flores Mrquez,['Orgullo y prejucio']
10205,Sash Uusjarv,"['Hull laev, esimene raamat (Eluslaevnikud, #2, part 1 of 2)']"
10206,Krista Kaer,"['Hull laev, esimene raamat (Eluslaevnikud, #2, part 1 of 2)']"
10207,Chrissy Munder,"[""Summer Lovin'""]"
10208,Clare London,"[""Summer Lovin'""]"
10209,Lauren Conrad,"['The Fame Game (Fame Game, #1)']"
10210,Peter Erskine,['No Beethoven: An Autobiography & Chronicle of Weather Report']
10211,Jennifer Spiegel,['Love Slave']
10212,Ellis Reid,['Side Effects May Vary']
10213,Geraldine Brooks,['People of the Book']
10214,Celia Juliano,['His Angel']
10215,Russell Whitfield,['Roma Victrix (Gladiatrix #2)']
10216,Anita Brookner,['Altered States']
10217,Jim  Murphy,"['My Face to the Wind: The Diary of Sarah Jane Price, a Prairie Teacher']"
10218,Kathryn Shay,"['Nothing More to Lose (The Firefighter Trilogy #3)', 'After the Fire (The Firefighter Trilogy, #1)']"
10219,James   Wood,['The Doctrine of Venus']
10220,Tia Louise,"['Taken: A One to Take Primer (One to Hold, #7.5)']"
10221,C.P. Bialois,['The Lightwalker (The Sword and the Flame #3)']
10222,Pauline Moody,"['Kind Van De Profetie (Zeven Wateren, #3)']"
10223,Lotta Smith,['Sweet Wicked of Mine (Paranormal in Manhattan #5)']
10224,Sophie Renwick,"['Mists of Velvet (Annwyn Chronicles, #2)']"
10225,Terri Herman-Ponce,['Covet (Past Life #2)']
10226,A.S. Byatt,"['The Mill on the Floss', 'The House in Paris']"
10227,Elizabeth Bowen,['The House in Paris']
10228,Geoffrey Parker,['The Grand Strategy of Philip II']
10229,Sean Astin,"[""There and Back Again: An Actor's Tale"", ""There And Back Again: An Actor's Tale. A Behind The Scenes Look At The Lord Of The Rings""]"
10230,Joe Layden,"[""There and Back Again: An Actor's Tale"", ""There And Back Again: An Actor's Tale. A Behind The Scenes Look At The Lord Of The Rings""]"
10231,Annie Cosby,['The Diamond Memory (Hummingbird Saga #2)']
10232,Stephen Pacey,"['Sleep, Pale Sister']"
10233,Valiska Gregory,['A Valentine for Norman Noggs']
10234,Marsha Lynn Winborn,['A Valentine for Norman Noggs']
10235,Cacey Hopper,['Finding Sanctuary (The Halcyon Legacy #2)']
10236,Traci Douglass,"['Blood Bound (Blood Ravagers, #1)']"
10237,Meredith Katz,"['Behind Bars (Pandemonium, #2)']"
10238,D. James Kennedy,"['Evangelism Explosion', 'The Real Meaning of the Zodiac', ""What's Wrong with Same-Sex Marriage?""]"
10239,John Kennedy Toole,['A Confederacy of Dunces']
10240,Nancy Britt,['The Real Meaning of the Zodiac']
10241,Jerry Newcombe,"[""What's Wrong with Same-Sex Marriage?""]"
10242,Robert Dallek,"['An Unfinished Life: John F. Kennedy, 1917-1963']"
10243,Robert Joustra,"['How to Survive the Apocalypse: Zombies, Cylons, Faith, and Politics at the End of the World']"
10244,Alissa Wilkinson,"['How to Survive the Apocalypse: Zombies, Cylons, Faith, and Politics at the End of the World']"
10245,Ysa Arcangel,['Love at First Sit']
10246,Lauren Groff,['I mostri di Templeton']
10247,Anna Rusconi,['I mostri di Templeton']
10248,Leah Petersen,"['Impact Velocity (The Physics of Falling, #3)']"
10249,James Welch,"[""The Real West Marginal Way: A Poet's Autobiography""]"
10250,Ripley Hugo,"[""The Real West Marginal Way: A Poet's Autobiography""]"
10251,Lois Welch,"[""The Real West Marginal Way: A Poet's Autobiography""]"
10252,William Matthews,"[""The Real West Marginal Way: A Poet's Autobiography""]"
10253,K.A. Tucker,"['Becoming Rain (Burying Water, #2)']"
10254,Melissa Bashardoust,['Girls Made of Snow and Glass']
10255,Joel C. Rosenberg,['Implosion: Can America Recover from Its Economic and Spiritual Challenges in Time?']
10256,Derek Attridge,['The Cambridge Companion To James Joyce']
10257,Nicola J. Watson,['Romantics and Victorians']
10258,Shafquat Towheed,['Romantics and Victorians']
10259,`ly shy`h`ly,['فارنهایت ۴۵۱']
10260,Stel Pavlou,['Gene']
10261,Wanda Phipps,['Wake-Up Calls: 66 Morning Poems']
10262,Joan Holub,"['Calliope the Muse (Goddess Girls, #20)']"
10263,Suzanne Williams,"['Calliope the Muse (Goddess Girls, #20)']"
10264,Norberto Bobbio,['Left and Right: The Significance of a Political Distinction']
10265,Allan Cameron,['Left and Right: The Significance of a Political Distinction']
10266,Jenna Greene,['Imagine']
10267,David Loades,"['Kings, Queens, Chiefs And Rulers (Source Book)']"
10268,Shayla Kersten,"['The Cost of Eternity (Eternity, #1)']"
10269,Angela Verdenius,"[""Cop's Passion""]"
10270,Marge Piercy,['Tri žene']
10271,Lin Carter,['Tolkien: A Look Behind The Lord Of The Rings']
10272,Milton Meltzer,['Benjamin Franklin: The New American']
10273,Marc McCutcheon,['Descriptionary: A Thematic Dictionary']
10274,Jo Walton,['The Prize in the Game (Tir Tanagiri #3)']
10275,Olivia Manning,['The Balkan Trilogy']
10276,Michael Witwer,['Empire of Imagination: Gary Gygax and the Birth of Dungeons & Dragons']
10277,John Brockman,['Intelligent Thought: Science Versus the Intelligent Design Movement']
10278,Heather K. Jones,"['Good Housekeeping Drop 5 lbs: The Small Changes, Big Results Diet']"
10279,Good Housekeeping,"['Good Housekeeping Drop 5 lbs: The Small Changes, Big Results Diet']"
10280,Paul Finch,['Terror Tales of the Cotswolds']
10281,Alison Littlewood,['Terror Tales of the Cotswolds']
10282,Gary Fry,['Terror Tales of the Cotswolds']
10283,Simon Kurt Unsworth,['Terror Tales of the Cotswolds']
10284,John Llewellyn Probert,['Terror Tales of the Cotswolds']
10285,Gary McMahon,['Terror Tales of the Cotswolds']
10286,Reggie Oliver,['Terror Tales of the Cotswolds']
10287,Christopher Harman,['Terror Tales of the Cotswolds']
10288,Simon Clark,['Terror Tales of the Cotswolds']
10289,Thana Niveau,['Terror Tales of the Cotswolds']
10290,Steve Lockley,['Terror Tales of the Cotswolds']
10291,Antonia James,['Terror Tales of the Cotswolds']
10292,Kimberly Dean,"['Lexie (Triple X, #1)']"
10293,M.C. King,['Seeing Green']
10294,Madeline A. Rosenberg,['Hot Mess (Tragic Love #1)']
10295,Gene Luen Yang,"['Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow, #3)']"
10296,Gurihiru,"['Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow, #3)']"
10297,India Knight,['The Dirty Bits for Girls']
10298,Karen Haber,"['The War Minstrels (War Minstrels, #1)']"
10299,Claire North,['The Master: Gameshouse Novella 3']
10300,Shannyn Leah,['Winters Rising (Lexcon Time Travel #1)']
10301,Nyogen Senzaki,['101 storie Zen']
10302,Paul Reps,['101 storie Zen']
10303,Adriana Motti,['101 storie Zen']
10304,Patrick Pesnot,['أبطال الرواية الحقيقيون مشهورون مغمورون']
10305,qsm lmqdd,['أبطال الرواية الحقيقيون مشهورون مغمورون']
10306,Vanessa Greene,['Summer Evenings at the Seafront Hotel']
10307,Dimitre Dinev,['Ангелски езици']
10308,Gergana Fyrkova,['Ангелски езици']
10309,Emily Winfield Martin,"[""Oddfellow's Orphanage""]"
10310,John Sedgwick,"['War of Two: The Dark Mystery of the Duel Between Alexander Hamilton and Aaron Burr, and Its Legacy for America']"
10311,Ron     Miller,['Is the End of the World Near?: From Crackpot Predictions to Scientific Scenarios']
10312,Larry Burkett,['Women Leaving the Workplace']
10313,Kees van Kooten,"['Levensnevel', 'Modermismen (Modermismen, #1)']"
10314,Sabrina Biancu,"[""Il mondo dell'altrove""]"
10315,'Hmd lfkhrny,['مملكة من عصير التفاح']
10316,Sabrina Jeffries,"[""Beware a Scot's Revenge (School for Heiresses, #3)""]"
10317,Lesley Horton,['The Hollow Core']
10318,Jennifer Oko,['Gloss']
10319,Harlan Hague,['Sakura']
10320,Mike Deodato,"['Thunderbolts: Fe en los monstruos (Colección Definitiva de Novelas Gráficas Marvel, #55)']"
10321,Sunil Gangopadhyay,['প্রথম আলো']
10322,Oswald Chambers,"['My Utmost for His Highest, NIV']"
10323,Nicolas Freeling,['A Long Silence']
10324,Simon Bell,"[""How to Set Up Information Systems: A Non-Specialist's Guide to the Multiview Approach""]"
10325,Emmuska Orczy,"['The Scarlet Pimpernel', 'The Scarlet Pimpernel']"
10326,Tad Waddington,"['Lasting Contribution: How to Think, Plan, and Act to Accomplish Meaningful Work']"
10327,John Bunyan,"[""The Pilgrim's Progress""]"
10328,Roger Sharrock,"[""The Pilgrim's Progress""]"
10329,Nicole Hite,['Paper Cranes']
10330,Robert Schneider,['Боклук']
10331,Robert Shnaider,['Боклук']
10332,Harry Hamernik,['Face Off: How to Draw Amazing Caricatures & Comic Portraits']
10333,John S. Dzienkowski,"['Professional Responsibility, Standards, Rules & Statutes, 2010-2011 Abridged']"
10334,Matt Kramer,['Making Sense of Wine']
10335,Frederick Davidson,['Making Sense of Wine']
10336,Andy White,['21st Century Troubadour']
10337,Chu Ngoc,"['Đạo Tình (Đạo Tình, #1)']"
10338,Charles B. Strozier,['Until the Fires Stopped Burning: 9/11 and New York City in the Words and Experiences of Survivors and Witnesses']
10339,Amanda McIntyre,['A Christmas Promise']
10340,Mignon Mykel,"[""About Last Night (O'Gallagher Nights Book 2)""]"
10341,Noam Chomsky,"['تواريخ الانشقاق', 'تواريخ الانشقاق', 'El Miedo A La Democracia']"
10342,David Barsamian,['تواريخ الانشقاق']
10343,mHmd njWr,['تواريخ الانشقاق']
10344,dyfyd brsmyn,['تواريخ الانشقاق']
10345,Aleksandr Voinov,"[""Missionary (Wilde's, #5.5)""]"
10346,Julie Thomas,"['De jongen, de viool en de meester']"
10347,Marian Muusse,"['De jongen, de viool en de meester']"
10348,Jorge Cham,['We Have No Idea: A Guide to the Unknown Universe']
10349,Daniel Whiteson,['We Have No Idea: A Guide to the Unknown Universe']
10350,Christina Skye,"['Come the Night (The Dangerous Delameres, #1)']"
10351,I'n Makiu'n,['На плажа Чезъл']
10352,Radosveta Getova,['На плажа Чезъл']
10353,Mary Jane Clark,['Lights Out Tonight']
10354,George G. Sheldon,"['Their Last Words: A Tribute to Soldiers Who Lost Their Lives in Afghanistan and IraqFamilies and Friends Share Stories, Photos and Last LettersHome From the Front']"
10355,Claire Farrell,['Tainted (Ava Delaney: Lost Souls #1)']
10356,Arabella Stokes,['Proof Of Love']
10357,Ava Mitchell,"['Corralling the Stones, Part 1: The Chase']"
10358,Sydney Holiday,"['Corralling the Stones, Part 1: The Chase']"
10359,Rhiannon Paille,"['Villains (The Ferryman and the Flame, #2.5)']"
10360,Chris Hedges,['American Fascists: The Christian Right and the War on America']
10361,Eunice Wong,['American Fascists: The Christian Right and the War on America']
10362,Sven Hillenkamp,['Das Ende der Liebe. Gefühle im Zeitalter unendlicher Freiheit']
10363,Jax Jillian,"[""Ryan's Letters""]"
10364,K.D. Wentworth,['L. Ron Hubbard Presents Writers of the Future 27']
10365,L. Ron Hubbard,"['L. Ron Hubbard Presents Writers of the Future 27', 'Typewriter in the Sky']"
10366,Julius St. Clair,['Hail to the Queen (The Last of the Sages #3)']
10367,Sally Arteseros,['American Voices: Best Short Fiction By Contemporary Authors']
10368,Karl Ove Knausgard,['La mia lotta (2)']
10369,Lisa Raspanti,['La mia lotta (2)']
10370,Tom Wolfe,"['I Am Charlotte Simmons', 'I Am Charlotte Simmons']"
10371,Jonathan Galassi,['I Am Charlotte Simmons']
10372,Dylan Baker,['I Am Charlotte Simmons']
10373,Clare Mackintosh,['Jeg ser dig']
10374,Diana Birchall,"[""Mrs. Darcy's Dilemma: A Sequel to Jane Austen's Pride and Prejudice""]"
10375,Elizabeth Wixley,"[""Kane's Cross (Witchfinder, #2)""]"
10376,E.M.G. Wixley,"[""Kane's Cross (Witchfinder, #2)""]"
10377,Yusuf Mansur,['Buat Apa Susah? Susah Itu Mudah']
10378,Joe Mynhardt,"[""Writers on Writing Volume 1 - 4 Omnibus: An Author's Guide""]"
10379,Brian Hodge,"[""Writers on Writing Volume 1 - 4 Omnibus: An Author's Guide""]"
10380,Tim Waggoner,"[""Writers on Writing Volume 1 - 4 Omnibus: An Author's Guide""]"
10381,Jonathan Janz,"[""Writers on Writing Volume 1 - 4 Omnibus: An Author's Guide""]"
10382,Stephanie M. Wytovich,"[""Writers on Writing Volume 1 - 4 Omnibus: An Author's Guide""]"
10383,Mercedes M. Yardley,"[""Writers on Writing Volume 1 - 4 Omnibus: An Author's Guide""]"
10384,Jasper Bark,"[""Writers on Writing Volume 1 - 4 Omnibus: An Author's Guide""]"
10385,Kevin Lucia,"[""Writers on Writing Volume 1 - 4 Omnibus: An Author's Guide""]"
10386,Kenneth W. Cain,"[""Writers on Writing Volume 1 - 4 Omnibus: An Author's Guide""]"
10387,Todd Keisling,"[""Writers on Writing Volume 1 - 4 Omnibus: An Author's Guide""]"
10388,David Tallerman,['the way of the leaves']
10389,Romain Hugault,"['Burma Banshees (Angel Wings, #1)']"
10390,Alisa Kwitney,['Destiny A Chronicle of Deaths Foretold (book 1 of 3)']
10391,Kent Williams,['Destiny A Chronicle of Deaths Foretold (book 1 of 3)']
10392,Gwyn Brodie,['Beneath A Highland Moon (The Highland Moon #1)']
10393,Victoria Lang,['Blood Vial: The Descendants']
10394,Daniel Kahneman,"['Gândire rapidă, gândire lentă']"
10395,Willa Blair,['Sweetie Pie']
10396,Sandra Hill,"['The Tarnished Lady (Viking I, #3)']"
10397,Jennifer Wilde,['Dare to Love']
10398,T.E. Huff,['Dare to Love']
10399,Bengt af Klintberg,['Råttan i pizzan: Folksägner i vår tid']
10400,Bengt Malmstrom,['Råttan i pizzan: Folksägner i vår tid']
10401,Hugh Ashton,['Red Wheels Turning']
10402,Putu Wijaya,['Putri']
10403,Walter Scott,['Old Mortality']
10404,Jane Stevenson,['Old Mortality']
10405,Megan Lisa Jones,['Captive']
10406,Ichanx,['Bankir Sesaat']
10407,Vincenzo Mantovani,['La controvita']
10408,John Kessel,['Freedom Beach']
10409,Rachel Abbott,"['Nowhere Child (DCI Tom Douglas 4.5#)', 'Only the Innocent (DCI Tom Douglas #1)']"
10410,Eric S. Nylund,['Halo: The Fall of Reach']
10411,Pat Summitt,['Reach for the Summit']
10412,Sally Jenkins,['Reach for the Summit']
10413,Bonnie Gibson,['Gourds: Southwest Gourd Techniques  Projects from Simple to Sophisticated']
10414,Everett Gibson,['Gourds: Southwest Gourd Techniques  Projects from Simple to Sophisticated']
10415,Rachel Gibson,"['It Must Be Love', 'See Jane Score (Chinooks Hockey Team, #2)', 'Truly Madly Yours (Truly, Idaho, #1)', 'Simply Irresistible (Chinooks Hockey Team, #1)']"
10416,Guillaume Apollinaire,['As Onze Mil Vergas']
10417,Samuel W. Taylor,['Nightfall at Nauvoo']
10418,Robert Munsch,['Zoom!']
10419,Michael Martchenko,['Zoom!']
10420,Fiona Bowie,['The Anthropology of Religion']
10421,Neven Budak,"['Hrvatski vladari: knezovi, kraljevi, biskupi']"
10422,Selma Eichler,"['Murder Can Ruin Your Looks (Desiree Shapiro Mystery, #2)', 'Murder Can Depress Your Dachshund (Desiree Shapiro Mystery, #14)', 'Murder Can Singe Your Old Flame (Desiree Shapiro Mystery, #6)']"
10423,Shubhra Krishan,['Essential Ayurveda: What It Is and What It Can Do for You']
10424,Jean-Yves Pellegrin,['Générosité']
10425,Mark Tully,['The Heart of India']
10426,Peter J. Kivisto,['Social Theory: Roots and Branches']
10427,Casey Griffin,['Must Love Wieners']
10428,Ross Macdonald,['The Galton Case: A Lew Archer Novel']
10429,Eva Gordon,"[""Hidden (Alpha Wolf's Pet, #1)""]"
10430,Kodilynn Calhoun,['Neverlost (Melodies and Memories #1)']
10431,Wil Wheaton,"[""Mather's Blood: A Tale of DemonWars""]"
10432,Sarah Ahiers,"[""Assassin's Heart""]"
10433,Nicole Castroman,"['Blackhearts (Blackhearts, #1)']"
10434,Lisa   Maxwell,['Unhooked']
10435,Heidi Heilig,"['The Girl from Everywhere (The Girl From Everywhere, #1)']"
10436,George Theiner,['My Merry Mornings']
10437,Joanna Wiebe,"['The Unseemly Education of Anne Merchant (The V Trilogy, #1)']"
10438,Fidelis Sanbein,['Dear You...']
10439,Leonard Goldberg,"[""Il caso dell'uomo senza volto""]"
10440,Jean Fritz,['Alexander Hamilton: the Outsider']
10441,Irshad Kamil,['Ek Mahina Nazmon Ka']
10442,Halldor Laxness,['Independent People']
10443,James Anderson Thompson,['Independent People']
10444,M. Stewart,['The Vodka Party Book']
10445,Jim Clifton,['Entrepreneurial StrengthsFinder']
10446,Sangeeta Bharadwaj Badal,['Entrepreneurial StrengthsFinder']
10447,R.D. Reynolds,['The Death of WCW']
10448,Bryan Alvarez,['The Death of WCW']
10449,B.A. James,['Moonless Night']
10450,Tsuina Miura,"['Sky-High Survival, Volume #6']"
10451,Takahiro Oba,"['Sky-High Survival, Volume #6']"
10452,Cindy Guidry,['The Last Single Woman in America']
10453,K. Dicke,['Tidal Wave (Tide #2)']
10454,Ali Cronin,"[""Girls' Night In (Girl Heart Boy, #0.5)""]"
10455,Oasis.,['Push Comes to Shove']
10456,Valerie Twombly,"['Veiled in Darkness (Eternally Mated, #2)']"
10457,Lois Rock,['The First Easter']
10458,Sophie Allsopp,['The First Easter']
10459,Richard Holcroft,['The Omega Covenant']
10460,Julia Gardener,['Killer Instinct']
10461,Craig Thompson,['Habibi']
10462,Vincent Bivona,['The Journal of Peter Rubin: A Novel']
10463,Melissa  Maiello,['The Journal of Peter Rubin: A Novel']
10464,Duncan M. Hamilton,"[""The Huntsman's Amulet (Society of the Sword, #2)""]"
10465,G. Lusby,['The Girl Across the Street']
10466,Mary Gordon,['The House of Mirth']
10467,Rio,['The Cocaine Princess Part 2']
10468,Marius Tauba,['Saldumas pyrago dugne']
10469,Lina Krutulyte,['Saldumas pyrago dugne']
10470,Andi O'Connor,"['Silevethiel (The Vaelinel Trilogy, #1)']"
10471,Heinrich von Kleist,['Kohlhaas İsyan']
10472,Susan Lowell,['Little Red Cowboy Hat']
10473,Randy Cecil,['Little Red Cowboy Hat']
10474,Caroline Wintour,"['Sweet Temptation (Sweet, #4)']"
10475,James Williams Tyrrell,['Across the sub-Arctics of Canada:']
10476,Elizabeth Brake,"['Minimizing Marriage: Morality, Marriage, and the Law']"
10477,Jerry Cole,['The Summer of Change']
10478,Lillian Duncan,"['Serenity Springs, Ohio']"
10479,Robin McKinley,['Sunshine']
10480,Victor Sutch,['What the Bible Really Says']
10481,Holger Lundbergh,['Swedish Fairy Tales']
10482,Phil Earle,"['Demolition Dad (Storey Street, #1)']"
10483,Sara Ogilvie,"['Demolition Dad (Storey Street, #1)']"
10484,Buichi Terasawa,['Cobra Tome 1']
10485,Selena Kitt,['Christa']
10486,M.V. Carey,"['The Mystery of the Singing Serpent (Alfred Hitchcock and The Three Investigators, #17)', 'Die drei ??? und der magische Kreis (Die drei Fragezeichen, #27).']"
10487,Rivka Aarons-Hughes,['Ester and Artemisia']
10488,Erica Jong,['Paura di volare']
10489,Lidia Ravera,['Paura di volare']
10490,Marisa Caramella,['Paura di volare']
10491,Joshua Noble,"[""Programming Interactivity: A Designer's Guide to Processing, Arduino, and Openframeworks""]"
10492,Bo Sanchez,"['How to Be Really, Really, Really Happy!']"
10493,Sara Bourgeois,"[""Brewing Love (Tree's Hollow Witches, #1)""]"
10494,John Lagerwey,"['Early Chinese Religion, Part One: Shang Through Han (1250 BC-220 Ad) (2 Vols)']"
10495,Marc Kalinowski,"['Early Chinese Religion, Part One: Shang Through Han (1250 BC-220 Ad) (2 Vols)']"
10496,Melissa A. Hanson,['A Healing Spirit (Riverview Series #2)']
10497,Mary Beeken,['A Seven Year Hitch']
10498,Syd Hoff,['Danny and the Dinosaur (An I CAN READ Book)']
10499,Jez Morrow,['Force of Law']
10500,Edward Lorn,['Trailer']
10501,Onk Beakman,"['Skylanders Universe: Spyro Versus the Mega Monsters (The Mask of Power, #1)']"
10502,Jamie Summer,['Dalysian Struggle']
10503,Cassia Brightmore,['Dalysian Struggle']
10504,Charlotte Lamb,['Angel of Death']
10505,Rachel Walter,"['True Connection (Soul Mate, #1)']"
10506,Violet Haze,['If I Had You']
10507,Frederic Beigbeder,['Уна і Селінджер']
10508,Leonid Kononovich,['Уна і Селінджер']
10509,Justin MacCormack,['The Castle of Count Shagula (Tales of Monsterotica Book 1)']
10510,Rachael Miles,"[""Chasing the Heiress (The Muses' Salon, #2)""]"
10511,Mandy Baxter,['At Any Cost (U.S. Marshals #4)']
10512,Edith Maxwell,"['Murder Most Fowl (Local Foods Mystery,#4)']"
10513,Joe Knetter,['Zombie Bukkake']
10514,Darlene Deibler Rose,"[""Evidence Not Seen: A Woman's Miraculous Faith in the Jungles of World War II""]"
10515,Edward Albee,['The Lady from Dubuque']
10516,Abigail Boyd,"['Velocity (Gravity, #4)']"
10517,Gretchen Rubin,['Projecto Felicidade']
10518,Pedro Soares,['Projecto Felicidade']
10519,Susan Goldman Rubin,['Art Against the Odds: From Slave Quilts to Prison Paintings']
10520,Thomas Malory,['Le Morte Darthur: The Winchester Manuscript']
10521,Edwina Preston,['The Inheritance of Ivorie Hammer']
10522,Dylan Coleman,['Mazin Grace']
10523,John  Dennehy,"['Illegal: A True Story of Love, Revolution and Crossing Borders']"
10524,Ibn Battuta,"['I viaggi', 'I viaggi']"
10525,Claudia M. Tresso,['I viaggi']
10526,Aldo Mondino,['I viaggi']
10527,Chris Patton,['Sidecar']
10528,Eileen Cook,['Se záští']
10529,Christian Endres,"['Crazy Wolf: Die Bestie in mir (Horror Factory, #2)']"
10530,Uwe Voehl,"['Crazy Wolf: Die Bestie in mir (Horror Factory, #2)']"
10531,Norah Carlin,['The Causes of the English Civil War']
10532,Brandan Hadlock,['Working With The Enemy (Remnant #0.9)']
10533,LeAnn Ashers,['Lane (Grim Sinners MC #1)']
10534,Barbara Kingsolver,['The Poisonwood Bible']
10535,S.J. Watson,['Αμνησία']
10536,Ann-Margritt Saevold,['Kameliadamen']
10537,Charlie Richards,"[""Kort's Treasure (A Paranormal’s Love #13)""]"
10538,Emily Blaine,"[""Colocs et rien d'autre (Colocs, #2)""]"
10539,Daniel Ingram-Brown,"['The Nemesis Charm (The Firebird Chronicles, #2)']"
10540,Jeff Shelby,['The Murder Pit']
10541,P. Dangelico,"['A Million Different Ways (A Horn Novel, #1)']"
10542,Toshinori kato,"['Otak Ideal Makin Berumur, Makin Brillian']"
10543,Tara Spencer,"['The Insulin Resistance Diet for PCOS: A 4-Week Meal Plan and Cookbook to Lose Weight, Boost Fertility, and Fight Inflammation']"
10544,Jennifer Koslo,"['The Insulin Resistance Diet for PCOS: A 4-Week Meal Plan and Cookbook to Lose Weight, Boost Fertility, and Fight Inflammation']"
10545,Maricel E. Presilla,['Gran Cocina Latina: The Food of Latin America']
10546,David Nirenberg,['Anti-Judaism: The Western Tradition']
10547,Sara B. Larson,['Endure']
10548,Raymond Roseoiep,['Love Makes the Air Light']
10549,Jessica Conant-Park,"['Fed Up (A Gourmet Girl Mystery, #4)']"
10550,Susan Conant,"['Fed Up (A Gourmet Girl Mystery, #4)']"
10551,Lola Dodge,"['Ivory (Manhattan Ten, #2)']"
10552,Giacomo Mazzariol,['Mio fratello rincorre i dinosauri: Storia mia e di Giovanni che ha un cromosoma in più']
10553,M.A. Stone,['There Goes the Neighborhood A Drawn Series Prequel']
10554,Diane Gilliam,['Dreadful Wind & Rain']
10555,Julie  Murphy,"['Whose Home Is This?', 'Whose Baby Is This?']"
10556,Tillie Cole,"['Sweet Rome (Sweet Home, #1.5)']"
10557,Leonore Puschert,"['Die drei ??? und der magische Kreis (Die drei Fragezeichen, #27).']"
10558,njyb lkylny,['الرايات السوداء']
10559,Ruth Reichl,['Delicious!']
10560,Andy  Crouch,"[""Great American Craft Beer: A Guide to the Nation's Finest Beers and Breweries""]"
10561,Sam Calagione,"[""Great American Craft Beer: A Guide to the Nation's Finest Beers and Breweries""]"
10562,Dalia Roddy,['A Catch in Time']
10563,Adam Harmon,['Lonely Soldier: The Memoir of an American in the Israeli Army']
10564,Irving M. Copi,['Introduction to Logic']
10565,Carl Cohen,['Introduction to Logic']
10566,Amanda Ashley,['Embrace the Night (Vampire Romance #1)']
10567,Jennifer  Ann,"[""Adam's List (NYC Love, #1)""]"
10568,Lee Wardlaw,['Dinosaur Pizza']
10569,Gareth L. Powell,['The Last Reef']
10570,Stephen Leacock,['Sunshine Sketches of a Little Town']
10571,Amber Lynn Natusch,"['Unborn (Unborn, #1)']"
10572,Barbara Seuling,"['There Are Millions of Millionaires: And Other Freaky Facts about Earning, Saving, and Spending']"
10573,Ryan Haugen,"['There Are Millions of Millionaires: And Other Freaky Facts about Earning, Saving, and Spending']"
10574,Joni Wallace,['Blinking Ephemeral Valentine']
